0.000000000000000000e+00,0.000000000000000000e+00
5.648855560419300259e-01,8.056743275797316750e-01
5.889296150011874564e-01,1.330193868608364527e+00
1.045489123544752541e+00,1.457005106833341168e+00
1.503840385254918033e+00,2.313473352907982061e+00
1.858962343703409958e+00,3.144290895644061834e+00
1.963341137900173949e+00,3.344487199589337934e+00
1.993502580109971278e+00,3.430180390333851026e+00
2.089750286898426346e+00,3.453274596993999523e+00
2.217428054341909593e+00,3.571160440980391648e+00
2.274848936981657133e+00,3.648744457237449890e+00
2.450761368503668880e+00,3.703039002601545615e+00
2.404953848006976092e+00,3.617301198883485114e+00
2.425667788620151200e+00,3.759406620276537936e+00
2.609423812847893487e+00,3.892533573450083217e+00
2.618024424653116800e+00,3.899302322846386559e+00
2.632609111860660267e+00,3.906648633089573774e+00
2.717347725050204943e+00,3.922952305159700170e+00
2.825768491458824361e+00,4.041021440306344914e+00
2.833460760383782251e+00,4.042642053985983530e+00
2.799252951344528118e+00,4.021577459799400955e+00
2.733595232236978312e+00,3.941742874668642038e+00
2.735666148463424374e+00,3.953828533854746308e+00
2.622065851467978437e+00,3.772471604364520115e+00
2.626813460208195838e+00,3.798169494610678765e+00
2.645824519327097502e+00,3.892003515506254008e+00
2.960713606834661782e+00,4.060064855819453200e+00
3.021031337841936448e+00,4.215448874132016854e+00
3.023237982432128046e+00,4.225653557235664159e+00
2.930409150129015039e+00,3.975230500001572853e+00
2.949673554904035822e+00,3.975653628758351044e+00
